재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Assets	         자산총계	137,534,462,895	144,556,607,670	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentAssets	         유동자산	120,543,544,282	129,830,727,294	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	dart_GovernmentGrantsCashAndCashEquivalentsGross	            정부보조금, 현금및현금성자산	0	0	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CashAndCashEquivalents	            현금및현금성자산	87,250,821,429	95,418,123,666	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CashEquivalents	               현금성자산	87,250,821,429	95,418,123,666	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentTaxAssets	            당기법인세자산	115,167,680	0	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Inventories	            유동재고자산	28,211,917,401	25,145,721,055	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	dart_AccumulatedImpairmentLossFinishedGoodsGross	               평가충당금, 제품	5,524,909	5,524,909	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	dart_AccumulatedImpairmentLossMerchandiseGross	               평가충당금, 상품	3,545,946	3,545,946	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	dart_AccumulatedImpairmentLossRawMaterialsGross	               평가충당금, 원재료	57,717,944	57,717,944	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	dart_AccumulatedImpairmentLossWorkInProgressGross	               평가충당금, 재공품	0	0	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	dart_FinishedGoodsGross	               제품	54,922,280	90,058,660	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	dart_GoodsInTransitGross	               미착품	0	0	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	dart_MerchandiseGross	               상품	808,604,113	917,519,228	
재무상태표, 유동/비유동법 - 별도	[211270]	AP위성	코스닥시장상장법인	313	항공기, 우주선 및 부품 제조업	12	2024-03-31	1분기보고서	KRW	dart_RawMaterialsGross	               원재료	20,465,320,269	19,777,232,456	
