재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentTaxAssets	            당기법인세자산	9,280,110		
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Assets	         자산총계	105,302,764,158	108,835,027,414	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentAssets	         유동자산	51,116,845,031	50,655,485,285	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	dart_CurrentDerivativeAsset	            파생상품자산	1,307,984,000	1,307,984,000	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융자산	500,865,000	5,006,497,854	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CashAndCashEquivalents	            현금및현금성자산	13,976,684,449	8,198,470,145	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherCurrentAssets	            기타유동자산	6,133,760	6,235,888	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherCurrentFinancialAssets	            기타유동금융자산	35,315,897,712	36,136,297,398	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_NoncurrentAssets	         비유동자산	54,185,919,127	58,179,542,129	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	dart_NonCurrentFairValueFinancialAsset	            당기손익-공정가치측정금융자산	6,389,312,659	7,497,305,354	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InvestmentsInAssociates	            관계기업투자	43,460,735,666	46,458,448,705	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherNoncurrentFinancialAssets	            기타비유동금융자산	3,609,494,010	3,382,109,719	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_PropertyPlantAndEquipment	            유형자산	726,376,792	841,678,351	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Equity	            자본총계	87,083,572,426	89,845,180,457	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_EquityAttributableToOwnersOfParent	            지배기업소유주지분	80,436,296,608	82,768,458,974	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	dart_CapitalSurplus	               자본잉여금	13,181,253,423	13,160,346,873	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	dart_ElementsOfOtherStockholdersEquity	               기타자본	-549,710,192	-589,181,492	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IssuedCapital	               자본금	20,738,931,000	20,738,931,000	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_RetainedEarnings	               이익잉여금	47,065,822,377	49,458,362,593	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_NoncontrollingInterests	            비지배지분	6,647,275,818	7,076,721,483	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_EquityAndLiabilities	         자본과부채총계	105,302,764,158	108,835,027,414	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentLiabilities	            유동부채	10,259,154,860	10,520,652,373	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	dart_CurrentDerivativeLiabilities	               파생상품부채	1,369,784,000	1,369,784,000	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	dart_CurrentPortionOfConvertibleBonds	               전환사채	6,943,904,732	6,835,721,493	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentTaxLiabilities	               당기법인세부채	937,435,371	810,102,203	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherCurrentFinancialLiabilities	               기타유동금융부채	903,443,380	1,256,013,590	
