재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	dart_LongTermBorrowingsGross	            장기차입금	3,000,000,000		
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Assets	         자산총계	505,245,524,562	473,277,757,435	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentAssets	         유동자산	208,648,678,577	183,901,449,609	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CashAndCashEquivalents	            현금및현금성자산	80,480,287,279	41,452,328,853	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentContractAssets	            계약자산	46,529,949,730	50,835,554,023	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition	            당기손익-공정가치측정금융자산	2,906,550,466	3,098,495,696	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Inventories	            유동재고자산	31,801,701,463	29,865,052,617	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners	            매각예정비유동자산		3,400,000,000	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherCurrentAssets	            기타유동자산	5,228,829,109	6,564,564,829	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents	            단기금융상품	15,000,000,000	26,000,000,000	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_TradeAndOtherCurrentReceivables	            매출채권 및 기타채권	26,701,360,530	22,685,453,591	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_NoncurrentAssets	         비유동자산	296,596,845,985	289,376,307,826	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	dart_LongTermTradeAndOtherNonCurrentReceivablesGross	            장기성매출채권및기타채권	6,085,448,844	5,772,197,157	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_DeferredTaxAssets	            이연법인세자산	4,861,777,345	4,656,164,287	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IntangibleAssetsOtherThanGoodwill	            무형자산	33,998,774,814	34,429,480,146	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InvestmentProperty	            투자부동산	75,956,706,542	76,937,406,872	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InvestmentsInAssociates	            관계기업투자주식	5,287,401,154	5,519,364,279	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_NoncurrentContractAssets	            장기계약자산	131,431,435,482	123,848,008,482	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherNoncurrentAssets	            기타비유동자산	79,479,616	93,517,947	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_PropertyPlantAndEquipment	            유형자산	38,895,822,188	38,120,168,656	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Equity	         자본총계	363,137,615,415	360,141,842,297	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_EquityAttributableToOwnersOfParent	         지배기업의 소유주에게 귀속되는 자본	321,208,721,369	321,629,083,751	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	dart_CapitalSurplus	            기타불입자본	56,043,985,361	61,355,857,880	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	dart_ElementsOfOtherStockholdersEquity	            기타자본구성요소	34,135,903,260	32,362,950,477	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IssuedCapital	            자본금	12,286,530,500	12,286,530,500	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_RetainedEarnings	            이익잉여금(결손금)	218,742,302,248	215,623,744,894	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_NoncontrollingInterests	         비지배지분	41,928,894,046	38,512,758,546	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_EquityAndLiabilities	      자본과부채총계	505,245,524,562	473,277,757,435	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentLiabilities	         유동부채	138,447,766,832	112,438,556,426	
재무상태표, 유동/비유동법 - 연결	[068790]	DMS	코스닥시장상장법인	292	특수 목적용 기계 제조업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentContractLiabilities	            계약부채	11,447,253,873	4,251,595,481	
