재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Assets	         자산총계	840,578,013,519	54,629,531,119	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CashAndCashEquivalents	         현금및현금성자산	23,488,130,234	32,629,122,094	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CurrentTaxAssets	         당기법인세자산	712,329,913	497,678,433	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_DeferredTaxAssets	         이연법인세자산	935,580,878	1,053,153,674	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	628,568,226,277	7,009,077,607	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome	         기타포괄손익-공정가치측정금융자산	3,611,868,936	3,514,992,000	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	180,196,337,648	7,889,046,719	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	380,160,875	389,036,756	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타비금융자산	1,555,431,616	147,092,954	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	260,237,733	282,205,525	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_RightofuseAssets	         사용권자산	869,709,409	1,218,125,357	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_CapitalAdjustments	            자본조정	-5,818,120,485	-5,818,120,485	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_ElementsOfOtherStockholdersEquity	            기타자본구성요소	2,430,318,496	2,353,688,840	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Equity	            자본총계	39,849,221,715	40,598,037,650	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IssuedCapital	            자본금	24,200,050,050	24,200,050,050	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_RetainedEarnings	            이익잉여금	19,036,973,654	19,862,419,245	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_RegulatoryReserveForCreditLoss	               대손준비금 적립액	32,476,635	1,774,345	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_RegulatoryReserveForCreditLossToBeAddedReversed	               대손준비금 전입(환입) 예정액	-2,120,455	30,702,290	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_EquityAndLiabilities	         자본과부채총계	840,578,013,519	54,629,531,119	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Borrowings	            차입부채	84,600,000,000	2,000,000,000	
 재무상태표, 증권 - 별도	[null]	케이알투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_DepositsFromCustomers	            예수부채	47,954,217	49,656,471	
